,Accession,root_inhib,inhib_ratio,gr_ratio
0,991,0.2,0.8,0.475
1,1062,-0.22,1.22,0.689
2,1063,0.13,0.87,0.211
3,1254,-0.39,1.39,0.635
4,1925,0.14,0.86,0.378
5,2276,-0.37,1.37,0.474
6,5831,-0.88,1.88,0.517
7,5856,-0.16,1.16,0.431
8,5867,-0.16,1.16,0.451
9,6009,-0.66,1.66,0.311
10,6011,-0.19,1.19,0.365
11,6012,-0.31,1.31,0.326
12,6013,-0.07,1.07,0.431
13,6040,-0.29,1.29,0.507
14,6070,-0.13,1.13,0.428
15,6071,-0.62,1.62,0.574
16,6088,0.01,0.99,0.274
17,6094,-0.16,1.16,0.327
18,6114,-0.36,1.36,0.522
19,6132,-0.46,1.46,0.514
20,6136,0.27,0.73,0.376
21,6140,-0.05,1.05,0.39
22,6148,-0.87,1.87,0.806
23,6149,-0.04,1.04,0.409
24,6151,-0.26,1.26,0.485
25,6154,-0.31,1.31,0.63
26,6169,-0.14,1.14,0.311
27,6173,-0.15,1.15,0.475
28,6188,0.3,0.7,0.379
29,6220,-0.2,1.2,0.395
30,6235,-0.22,1.22,0.434
31,6240,0.16,0.84,0.437
32,6241,-0.82,1.82,0.49
33,6296,0.23,0.77,0.387
34,6413,-1.02,2.02,0.745
35,6909,0.22,0.78,0.485
36,6913,-0.05,1.05,0.459
37,6944,-0.8,1.8,0.571
38,6945,-0.49,1.49,0.495
39,6974,-0.62,1.62,0.556
40,6981,-0.14,1.14,0.381
41,6982,-1.01,2.01,0.746
42,7003,-0.8,1.8,0.453
43,7008,-0.35,1.35,0.629
44,7133,-0.1,1.1,0.449
45,7158,0.06,0.94,0.451
46,7164,-0.48,1.48,0.441
47,7169,-0.17,1.17,0.415
48,7177,-0.02,1.02,0.377
49,7244,0.45,0.55,0.349
50,7255,-0.05,1.05,0.532
51,7268,0.16,0.84,0.321
52,7276,0.07,0.93,0.437
53,7288,0.17,0.83,0.399
54,7305,0.23,0.77,0.421
55,7328,-0.97,1.97,0.563
56,7343,-0.31,1.31,0.534
57,7356,0.15,0.85,0.347
58,7382,-0.48,1.48,0.613
59,7383,-1.06,2.06,0.767
60,7396,0.01,0.99,0.344
61,7517,-1.26,2.26,0.547
62,8214,-0.8,1.8,0.751
63,8227,0.17,0.83,0.225
64,8237,-0.43,1.43,0.374
65,8242,0.03,0.97,0.357
66,8247,-0.17,1.17,0.474
67,8307,-0.44,1.44,0.363
68,8326,0.45,0.55,0.142
69,8337,-0.76,1.76,0.483
70,8351,-0.36,1.36,0.519
71,8376,0.17,0.83,0.242
72,8386,-0.15,1.15,0.326
73,8420,-0.03,1.03,0.567
74,8422,0.33,0.67,0.313
75,9321,-0.57,1.57,0.348
76,9363,0.23,0.77,0.327
77,9369,-0.29,1.29,0.384
78,9380,0.07,0.93,0.512
79,9405,-1.0,2.0,0.645
80,9408,0.29,0.71,0.305
81,9427,-0.02,1.02,0.565
82,9506,0.31,0.69,0.338
83,9517,0.15,0.85,0.431
84,9519,-0.09,1.09,0.573
85,9520,0.21,0.79,0.365
86,9521,0.09,0.91,0.351
87,9524,0.04,0.96,0.424
88,9526,-0.09,1.09,0.468
89,9527,0.04,0.96,0.448
90,9528,0.4,0.6,0.308
91,9531,0.21,0.79,0.391
92,9532,0.09,0.91,0.432
93,9534,0.08,0.92,0.48
94,9539,-0.38,1.38,0.681
95,9540,0.24,0.76,0.295
96,9546,0.08,0.92,0.518
97,9547,-0.8,1.8,0.496
98,9548,0.26,0.74,0.289
99,9551,0.22,0.78,0.411
100,9552,0.22,0.78,0.491
101,9553,0.32,0.68,0.43
102,9558,0.06,0.94,0.484
103,9561,0.05,0.95,0.461
104,9562,-0.02,1.02,0.373
105,9564,0.18,0.82,0.355
106,9565,0.12,0.88,0.386
107,9567,0.18,0.82,0.307
108,9568,-0.03,1.03,0.636
109,9569,0.16,0.84,0.515
110,9573,0.12,0.88,0.391
111,9578,0.31,0.69,0.363
112,9581,0.18,0.82,0.385
113,9582,0.11,0.89,0.501
114,9584,-0.05,1.05,0.666
115,9585,-0.15,1.15,0.609
116,9586,-0.04,1.04,0.634
117,9587,0.28,0.72,0.272
118,9588,0.14,0.86,0.439
119,9589,-0.02,1.02,0.469
120,9591,0.07,0.93,0.486
121,9592,0.12,0.88,0.365
122,9593,0.42,0.58,0.102
123,9594,0.22,0.78,0.244
124,9595,0.09,0.91,0.519
125,9596,0.06,0.94,0.453
126,9597,0.22,0.78,0.321
127,9599,0.41,0.59,0.316
128,9601,0.12,0.88,0.432
129,9602,0.28,0.72,0.376
130,9729,0.33,0.67,0.342
131,9739,0.4,0.6,0.266
132,9772,-0.41,1.41,0.455
133,9776,0.14,0.86,0.495
134,9778,0.21,0.79,0.333
135,9784,-0.03,1.03,0.485
136,9795,-0.21,1.21,0.502
137,9804,0.08,0.92,0.602
138,9806,0.3,0.7,0.368
139,9807,-0.2,1.2,0.909
140,9811,0.35,0.65,0.253
141,9819,0.08,0.92,0.296
142,9820,0.03,0.97,0.467
143,9821,0.15,0.85,0.488
144,9824,0.28,0.72,0.287
145,9825,0.31,0.69,0.286
146,9826,0.01,0.99,0.509
147,9833,0.03,0.97,0.343
148,9834,0.28,0.72,0.291
149,9835,0.24,0.76,0.401
150,9838,0.15,0.85,0.391
151,9839,0.28,0.72,0.371
152,9843,0.13,0.87,0.425
153,9844,-0.41,1.41,0.607
154,9845,0.15,0.85,0.514
155,9846,0.22,0.78,0.366
156,9848,0.33,0.67,0.298
157,9849,-0.19,1.19,0.429
158,9850,0.04,0.96,0.408
159,9851,0.2,0.8,0.387
160,9852,-0.46,1.46,0.692
161,9855,-0.07,1.07,0.487
162,9856,-0.32,1.32,0.79
163,9857,0.02,0.98,0.389
164,9858,0.27,0.73,0.321
165,9859,0.2,0.8,0.24
166,9860,0.13,0.87,0.254
167,9861,-0.27,1.27,0.577
168,9864,-0.33,1.33,0.718
169,9866,0.16,0.84,0.281
170,9867,0.21,0.79,0.428
171,9868,0.05,0.95,0.329
172,9870,0.03,0.97,0.378
173,9874,-0.2,1.2,0.279
174,9876,-0.02,1.02,0.508
175,9877,0.25,0.75,0.346
176,9878,-0.14,1.14,0.413
177,9880,-1.3,2.3,1.824
178,9881,0.25,0.75,0.406
179,9882,0.32,0.68,0.222
180,9883,0.4,0.6,0.278
181,9885,0.1,0.9,0.474
182,9886,-0.46,1.46,0.522
183,9888,0.16,0.84,0.307
184,9890,0.19,0.81,0.323
185,9891,0.23,0.77,0.303
186,9892,0.05,0.95,0.559
187,9895,0.25,0.75,0.421
188,9897,0.24,0.76,0.342
189,9898,-0.12,1.12,0.633
190,9901,0.41,0.59,0.217
191,9902,0.28,0.72,0.352
192,9903,0.06,0.94,0.586
193,9904,0.31,0.69,0.297
194,9906,0.12,0.88,0.429
195,9927,0.08,0.92,0.55
196,9938,-0.38,1.38,0.379
197,9942,0.09,0.91,0.44
198,9948,0.0,1.0,0.541
199,9949,-0.01,1.01,0.385
200,9950,0.3,0.7,0.379
201,10005,0.32,0.68,0.322
